Team,Back all,Lay all
Belgium,"3.1
£50","3.15
£76"
Croatia,"4.7
£213","4.8
£60"
England,"7.2
£51","7.4
£25"
France,"3.45
£248","3.6
£44"
Germany,"3.8
£206","3.95
£24"
Hungary,"29
£43","36
£45"
Iceland,"85
£13","110
£14"
Italy,"11.5
£47","12
£50"
Northern Ireland,"75
£89","80
£50"
Poland,"10
£153","10.5
£81"
Portugal,"5.8
£84","5.9
£38"
Rep Of Ireland,"60
£38","85
£53"
Slovakia,"75
£24","120
£53"
Spain,"4.7
£79","5.1
£99"
Switzerland,"17.5
£82","18.5
£95"
Wales,"11.5
£141","12
£76"
