Team,Back all,Lay all
Belgium,"7.8
$8630","8
$2556"
Croatia,"10.5
$4911","11
$12279"
England,"11
$24048","11.5
$24285"
France,"5.4
$47060","5.5
$19778"
Germany,"6.2
$29323","6.4
$40536"
Hungary,"120
$138","130
$1501"
Iceland,"180
$256","190
$612"
Italy,"19
$5369","19.5
$7983"
Northern Ireland,"320
$290","330
$299"
Poland,"29
$5350","30
$4724"
Portugal,"17
$5722","17.5
$2941"
Rep Of Ireland,"180
$253","190
$793"
Slovakia,"250
$156","260
$640"
Spain,"7.2
$43569","7.4
$8634"
Switzerland,"55
$8423","60
$4099"
Wales,"30
$8637","32
$9252"
